iata,name,city,country,latitude,longitude,s
42235,Intra Data Communication,,Mozambique,-18.25,35.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
37100,SEACOM-AS,Johannesburg,South Africa,-26.2309,28.0583,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzania
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzania
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
36903,MT-MPLS,Rabat,Morocco,34.0123,-6.8484,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,,47.0,8.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,Montreal,Canada,45.5329,-73.5565,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
36903,MT-MPLS,Inezgane,Morocco,30.3554,-9.5364,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,,47.0,8.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,Montreal,Canada,45.5329,-73.5565,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
36903,MT-MPLS,Salé,Morocco,34.0389,-6.8166,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,,47.0,8.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,Montreal,Canada,45.5329,-73.5565,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
53589,PlanetHoster,Laval,Canada,45.578,-73.8004,Morocco
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
37182,TERNET,,Tanzania,-6.8227,39.291,Tanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
327900,SIMPLYCONNECT-Simply-Computers,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,MozambiqueTanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
30997,GIXA-AS,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
36947,Telecom Algeria,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
37684,ANGANI-AS,,Kenya,1.0,38.0,Kenya
37684,ANGANI-AS,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
37286,NG-ICT-FORUM,,Nigeria,10.0,8.0,Nigeria
37286,NG-ICT-FORUM,,Nigeria,10.0,8.0,Nigeria
36873,Celtel Nigeria Limited t.a ZAIN,Suleja,Nigeria,9.1766,7.1751,Nigeria
3356,Level 3 Parent LLC,Brighton,United Kingdom,50.8345,-0.186,Nigeria
3356,Level 3 Parent LLC,,United States,37.751,-97.822,Nigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,Leeds,United Kingdom,53.7881,-1.6008,GhanaNigeria
37148,globacom-as,Ilorin,Nigeria,8.5,4.55,Nigeria
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995,Nigeria
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995,Nigeria
37686,ABUZ1-AS,Zaria,Nigeria,11.1132,7.7252,Nigeria
37282,MAINONE,Lagos,Nigeria,6.4474,3.3903,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
3356,Level 3 Parent LLC,,United Kingdom,51.4964,-0.1224,Nigeria
3356,Level 3 Parent LLC,,United States,37.751,-97.822,Nigeria
3356,Level 3 Parent LLC,,United States,37.751,-97.822,Nigeria
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
37148,globacom-as,Ilorin,Nigeria,8.5,4.55,Nigeria
37148,globacom-as,Ilorin,Nigeria,8.5,4.55,Nigeria
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995,Nigeria
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995,Nigeria
37686,ABUZ1-AS,Zaria,Nigeria,11.1132,7.7252,Nigeria
37420,UNIV-JOS,,Nigeria,10.0,8.0,Nigeria
37661,NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,Nigeria
37661,NRaE1-AS,Amankwo,Nigeria,6.452,7.3018,Nigeria
3356,Level 3 Parent LLC,Brighton,United Kingdom,50.8345,-0.186,Nigeria
3356,Level 3 Parent LLC,,United States,37.751,-97.822,Nigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,Leeds,United Kingdom,53.7881,-1.6008,GhanaNigeria
37148,globacom-as,Ilorin,Nigeria,8.5,4.55,Nigeria
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995,Nigeria
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995,Nigeria
37686,ABUZ1-AS,Zaria,Nigeria,11.1132,7.7252,Nigeria
16509,Amazon.com Inc.,Dublin,Ireland,53.3338,-6.2488,Egypt
8452,TE-AS,,Egypt,30.0355,31.223,Egypt
16509,Amazon.com Inc.,Dublin,Ireland,53.3338,-6.2488,Egypt
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259,SA
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,Cape Town,South Africa,-33.9258,18.4259,SA
37611,Afrihost,Cape Town,South Africa,-33.9165,18.4155,SA
37611,Afrihost,Johannesburg,South Africa,-26.2309,28.0583,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,Cape Town,South Africa,-33.9258,18.4259,SA
42235,Intra Data Communication,,Mozambique,-18.25,35.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
37100,SEACOM-AS,Johannesburg,South Africa,-26.2309,28.0583,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzania
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,Marseille,France,43.2951,5.3861,MozambiqueTanzania
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0,Mozambique
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0,Mozambique
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0,Mozambique
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0,Mozambique
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0,Mozambique
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,Mozambique
37662,WIOCC-AS,Marseille,France,43.2951,5.3861,Mozambique
327700,MoRENet,,Mozambique,-18.25,35.0,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
36903,MT-MPLS,Rabat,Morocco,34.0123,-6.8484,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
36884,MAROCCONNECT,,Morocco,32.0,-5.0,Morocco
30983,Moroccan Academic Network,,Morocco,32.0,-5.0,Morocco
36903,MT-MPLS,Inezgane,Morocco,30.3554,-9.5364,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
36884,MAROCCONNECT,,Morocco,32.0,-5.0,Morocco
30983,Moroccan Academic Network,,Morocco,32.0,-5.0,Morocco
36903,MT-MPLS,Salé,Morocco,34.0389,-6.8166,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
36884,MAROCCONNECT,,Morocco,32.0,-5.0,Morocco
30983,Moroccan Academic Network,,Morocco,32.0,-5.0,Morocco
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
37182,TERNET,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
327900,SIMPLYCONNECT-Simply-Computers,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
327900,SIMPLYCONNECT-Simply-Computers,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174,Ghana
327947,KNUST,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
30997,GIXA-AS,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
36947,Telecom Algeria,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953,Senegal
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
37684,ANGANI-AS,,Kenya,1.0,38.0,Kenya
37684,ANGANI-AS,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
37286,NG-ICT-FORUM,,Nigeria,10.0,8.0,Nigeria
37286,NG-ICT-FORUM,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37170,UNILAG,Lagos,Nigeria,6.4474,3.3903,Nigeria
37282,MAINONE,Lagos,Nigeria,6.4474,3.3903,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,Lagos,Nigeria,6.4474,3.3903,Nigeria
37170,UNILAG,Lagos,Nigeria,6.4474,3.3903,Nigeria
37420,UNIV-JOS,,Nigeria,10.0,8.0,Nigeria
37661,NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,Nigeria
37661,NRaE1-AS,Amankwo,Nigeria,6.452,7.3018,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37170,UNILAG,Lagos,Nigeria,6.4474,3.3903,Nigeria
8452,TE-AS,,Egypt,30.0355,31.223,Egypt
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
36982,UCT,Cape Town,South Africa,-33.9258,18.4259,SA
2018,TENET-1,Bellville,South Africa,-33.9,18.6333,SA
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259,SA
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,Cape Town,South Africa,-33.9258,18.4259,SA
2018,TENET-1,Bellville,South Africa,-33.9,18.6333,SA
37611,Afrihost,Cape Town,South Africa,-33.9165,18.4155,SA
37611,Afrihost,Johannesburg,South Africa,-26.2309,28.0583,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,,South Africa,-29.0,24.0,SA
2018,TENET-1,Cape Town,South Africa,-33.9258,18.4259,SA
2018,TENET-1,Bellville,South Africa,-33.9,18.6333,SA
